filename,words
2481345.jpg,৫৮-৬৩৪৯
2493690.jpg,ঢাকা মেট্রো-গ
2506035.jpg,৪২-৬১৩৭
2518380.jpg,ঢাকা মেট্রো-থ
2530725.jpg,১৬-০৬২৩
2543070.jpg,ঢাকা মেট্রো-ল
2555415.jpg,২১-৯৪৪২
2567760.jpg,ঢাকা মেট্রো-ঘ
2580105.jpg,১৫-৮৮৬৪
2592450.jpg,ঢাকা মেট্রো-ঘ
2604795.jpg,৩৪-২৮৬০
2617140.jpg,ঢাকা মেট্রো-গ
2629485.jpg,৩১-৭৭২১
2641830.jpg,ঢাকা মেট্রো-ম
2654175.jpg,৫৫-১৫৮২
